customerID,gender,Partner,Dependents,tenure,PhoneService,InternetService,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,SeniorCitizen
7590-VHVEG,Female,Yes,No,1,No,DSL,No,Month-to-month,Yes,Electronic check,29.85,No,0
5575-GNVDE,Male,No,No,34,Yes,DSL,No,One year,No,Mailed check,56.95,No,0
3668-QPYBK,Male,No,No,2,Yes,DSL,No,Month-to-month,Yes,Mailed check,53.85,Yes,0
7795-CFOCW,Male,No,No,45,No,DSL,No,One year,No,Bank transfer (automatic),42.3,No,0
9237-HQITU,Female,No,No,2,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,70.7,Yes,0
9305-CDSKC,Female,No,No,8,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,99.65,Yes,0
1452-KIOVK,Male,No,Yes,22,Yes,Fiber optic,Yes,Month-to-month,Yes,Credit card (automatic),89.1,No,0
6713-OKOMC,Female,No,No,10,No,DSL,No,Month-to-month,No,Mailed check,29.75,No,0
7892-POOKP,Female,Yes,No,28,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,104.8,Yes,0
6388-TABGU,Male,No,Yes,62,Yes,DSL,No,One year,No,Bank transfer (automatic),56.15,No,0
9763-GRSKD,Male,Yes,Yes,13,Yes,DSL,No,Month-to-month,Yes,Mailed check,49.95,No,0
7469-LKBCI,Male,No,No,16,Yes,No,No internet service,Two year,No,Credit card (automatic),18.95,No,0
8091-TTVAX,Male,Yes,No,58,Yes,Fiber optic,Yes,One year,No,Credit card (automatic),100.35,No,0
0280-XJGEX,Male,No,No,49,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,Yes,0
5129-JLPIS,Male,No,No,25,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,105.5,No,0
3655-SNQYZ,Female,Yes,Yes,69,Yes,Fiber optic,Yes,Two year,No,Credit card (automatic),113.25,No,0
8191-XWSZG,Female,No,No,52,Yes,No,No internet service,One year,No,Mailed check,20.65,No,0
9959-WOFKT,Male,No,Yes,71,Yes,Fiber optic,Yes,Two year,No,Bank transfer (automatic),106.7,No,0
4190-MFLUW,Female,Yes,Yes,10,Yes,DSL,No,Month-to-month,No,Credit card (automatic),55.2,Yes,0
4183-MYFRB,Female,No,No,21,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,90.05,No,0
8779-QRDMV,Male,No,No,1,No,DSL,No,Month-to-month,Yes,Electronic check,39.65,Yes,1
1680-VDCWW,Male,Yes,No,12,Yes,No,No internet service,One year,No,Bank transfer (automatic),19.8,No,0
1066-JKSGK,Male,No,No,1,Yes,No,No internet service,Month-to-month,No,Mailed check,20.15,Yes,0
3638-WEABW,Female,Yes,No,58,Yes,DSL,No,Two year,Yes,Credit card (automatic),59.9,No,0
6322-HRPFA,Male,Yes,Yes,49,Yes,DSL,No,Month-to-month,No,Credit card (automatic),59.6,No,0
6865-JZNKO,Female,No,No,30,Yes,DSL,No,Month-to-month,Yes,Bank transfer (automatic),55.3,No,0
6467-CHFZW,Male,Yes,Yes,47,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,99.35,Yes,0
8665-UTDHZ,Male,Yes,Yes,1,No,DSL,No,Month-to-month,No,Electronic check,30.2,Yes,0
5248-YGIJN,Male,Yes,No,72,Yes,DSL,Yes,Two year,Yes,Credit card (automatic),90.25,No,0
8773-HHUOZ,Female,No,Yes,17,Yes,DSL,Yes,Month-to-month,Yes,Mailed check,64.7,Yes,0
3841-NFECX,Female,Yes,No,71,Yes,Fiber optic,No,Two year,Yes,Credit card (automatic),96.35,No,1
4929-XIHVW,Male,Yes,No,2,Yes,Fiber optic,Yes,Month-to-month,Yes,Credit card (automatic),95.5,No,1
6827-IEAUQ,Female,Yes,Yes,27,Yes,DSL,No,One year,No,Mailed check,66.15,No,0
7310-EGVHZ,Male,No,No,1,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,No,0
3413-BMNZE,Male,No,No,1,Yes,DSL,No,Month-to-month,No,Bank transfer (automatic),45.25,No,1
6234-RAAPL,Female,Yes,Yes,72,Yes,Fiber optic,Yes,Two year,No,Bank transfer (automatic),99.9,No,0
6047-YHPVI,Male,No,No,5,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,69.7,Yes,0
6572-ADKRS,Female,No,No,46,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic),74.8,No,0
5380-WJKOV,Male,No,No,34,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,106.35,Yes,0
8168-UQWWF,Female,No,No,11,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,Yes,0
8865-TNMNX,Male,Yes,Yes,10,Yes,DSL,No,One year,No,Mailed check,49.55,No,0
9489-DEDVP,Female,Yes,Yes,70,Yes,DSL,Yes,Two year,Yes,Credit card (automatic),69.2,No,0
9867-JCZSP,Female,Yes,Yes,17,Yes,No,No internet service,One year,No,Mailed check,20.75,No,0
4671-VJLCL,Female,No,No,63,Yes,DSL,Yes,Two year,Yes,Credit card (automatic),79.85,No,0
4080-IIARD,Female,Yes,No,13,Yes,DSL,Yes,Month-to-month,Yes,Electronic check,76.2,No,0
3714-NTNFO,Female,No,No,49,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,84.5,No,0
5948-UJZLF,Male,No,No,2,Yes,DSL,No,Month-to-month,No,Mailed check,49.25,No,0
7760-OYPDY,Female,No,No,2,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,80.65,Yes,0
7639-LIAYI,Male,No,No,52,Yes,DSL,Yes,Two year,Yes,Credit card (automatic),79.75,No,0
2954-PIBKO,Female,Yes,Yes,69,Yes,DSL,No,Two year,Yes,Credit card (automatic),64.15,No,0
8012-SOUDQ,Female,No,No,43,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,90.25,No,1
9420-LOJKX,Female,No,No,15,Yes,Fiber optic,Yes,Month-to-month,Yes,Credit card (automatic),99.1,Yes,0
6575-SUVOI,Female,Yes,No,25,Yes,DSL,Yes,Month-to-month,Yes,Credit card (automatic),69.5,No,1
7495-OOKFY,Female,Yes,No,8,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic),80.65,Yes,1
4667-QONEA,Female,Yes,Yes,60,Yes,DSL,No,One year,Yes,Credit card (automatic),74.85,No,1
1658-BYGOY,Male,No,No,18,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,95.45,Yes,1
8769-KKTPH,Female,Yes,Yes,63,Yes,Fiber optic,Yes,One year,Yes,Credit card (automatic),99.65,No,0
5067-XJQFU,Male,Yes,Yes,66,Yes,Fiber optic,Yes,One year,Yes,Electronic check,108.45,No,1
3957-SQXML,Female,Yes,Yes,34,Yes,No,No internet service,Two year,No,Credit card (automatic),24.95,No,0
5954-BDFSG,Female,No,No,72,Yes,Fiber optic,Yes,Two year,Yes,Credit card (automatic),107.5,No,0
0434-CSFON,Female,Yes,No,47,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,100.5,No,0
1215-FIGMP,Male,No,No,60,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic),89.9,No,0
0526-SXDJP,Male,Yes,No,72,No,DSL,No,Two year,No,Bank transfer (automatic),42.1,No,0
0557-ASKVU,Female,Yes,Yes,18,Yes,DSL,No,One year,Yes,Credit card (automatic),54.4,No,0
5698-BQJOH,Female,No,No,9,Yes,Fiber optic,Yes,Month-to-month,No,Electronic check,94.4,Yes,0
5122-CYFXA,Female,No,No,3,Yes,DSL,Yes,Month-to-month,Yes,Electronic check,75.3,No,0
8627-ZYGSZ,Male,Yes,No,47,Yes,Fiber optic,No,One year,Yes,Electronic check,78.9,No,0
3410-YOQBQ,Female,No,No,31,Yes,DSL,Yes,Two year,No,Mailed check,79.2,No,0
3170-NMYVV,Female,Yes,Yes,50,Yes,No,No internet service,Two year,No,Bank transfer (automatic),20.15,No,0
7410-OIEDU,Male,No,No,10,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check,79.85,No,0
